left_sensor,med_sensor,right_sensor,sampling_time,left_motor,right_motor
1,0,1,0.000428676605225,1.782,1.782
1,0,1,0.000477313995361,1.782,1.782
1,0,1,0.000470161437988,1.782,1.782
1,0,1,0.000473737716675,1.782,1.782
1,0,1,0.000437259674072,1.782,1.782
1,0,1,0.000442981719971,1.782,1.782
1,0,1,0.000948667526245,1.782,1.782
1,0,1,0.001004219055176,1.782,1.782
1,0,1,0.000936269760132,1.782,1.782
1,0,0,0.000295400619507,1.782,1.782
1,1,0,0.000446319580078,1.694,1.936
1,1,1,0.000326156616211,1.694,1.936
1,1,1,0.000310182571411,1.694,1.936
1,1,1,0.000299692153931,1.694,1.936
1,1,1,0.000297069549561,1.694,1.936
1,1,1,0.000298023223877,1.694,1.936
1,1,1,0.00030517578125,1.694,1.936
1,1,0,0.000444650650024,1.694,1.936
1,1,0,0.000451326370239,1.694,1.936
1,0,1,0.000458002090454,1.782,1.782
0,1,1,0.000487089157104,1.936,1.694
0,1,1,0.00046968460083,1.936,1.694
0,1,1,0.000994205474854,1.936,1.694
0,1,1,0.000468254089355,1.936,1.694
1,0,1,0.000433683395386,1.782,1.782
1,0,1,0.000447034835815,1.782,1.782
1,0,0,0.000298738479614,1.782,1.782
1,1,0,0.000509262084961,1.694,1.936
1,1,0,0.000448226928711,1.694,1.936
1,0,0,0.000598192214966,1.694,1.936
1,0,1,0.000989675521851,1.782,1.782
0,0,1,0.00065803527832,1.782,1.782
1,0,1,0.000945091247559,1.782,1.782
1,0,0,0.000295400619507,1.782,1.782
1,1,0,0.000459671020508,1.694,1.936
1,1,0,0.000446081161499,1.694,1.936
1,1,0,0.000446557998657,1.694,1.936
1,1,0,0.000442504882813,1.694,1.936
1,0,1,0.000442028045654,1.782,1.782
0,0,1,0.000598907470703,1.782,1.782
0,0,1,0.000599384307861,1.782,1.782
1,0,1,0.000936269760132,1.782,1.782
1,0,1,0.000450849533081,1.782,1.782
1,0,1,0.000440120697021,1.782,1.782
1,0,0,0.00029182434082,1.782,1.782
1,0,0,0.000292778015137,1.782,1.782
1,1,0,0.000444173812866,1.694,1.936
1,1,0,0.000440120697021,1.694,1.936
1,0,0,0.000590085983276,1.694,1.936
1,0,1,0.000944375991821,1.782,1.782
0,0,1,0.000293016433716,1.782,1.782
1,1,1,0.000298023223877,1.782,1.782
1,1,1,0.000296831130981,1.782,1.782
1,1,1,0.00029468536377,1.782,1.782
1,1,1,0.000300407409668,1.782,1.782
1,1,1,0.000290393829346,1.782,1.782
1,1,1,0.0006103515625,1.782,1.782
1,1,1,0.000604391098022,1.782,1.782
1,1,1,0.000611305236816,1.782,1.782
1,1,1,0.000297546386719,1.782,1.782
1,1,1,0.000299215316772,1.782,1.782
1,1,1,0.000327587127686,1.782,1.782
1,1,1,0.000297784805298,1.782,1.782
1,1,1,0.000299453735352,1.782,1.782
1,1,1,0.000301122665405,1.782,1.782
0,1,1,0.000986337661743,1.936,1.694
1,0,1,0.000950574874878,1.782,1.782
1,1,0,0.000999689102173,1.694,1.936
1,1,1,0.00060772895813,1.694,1.936
1,1,1,0.000608682632446,1.694,1.936
1,1,1,0.000691413879395,1.694,1.936
1,1,1,0.000622749328613,1.694,1.936
1,1,1,0.000608921051025,1.694,1.936
1,1,1,0.000601768493652,1.694,1.936
1,1,1,0.00029730796814,1.694,1.936
1,1,1,0.000300168991089,1.694,1.936
1,1,1,0.000347375869751,1.694,1.936
1,1,1,0.000298261642456,1.694,1.936
1,1,1,0.000301361083984,1.694,1.936
1,1,1,0.000298738479614,1.694,1.936
1,1,1,0.000610113143921,1.694,1.936
1,1,0,0.001033544540405,1.694,1.936
1,0,0,0.000596046447754,1.694,1.936
0,1,1,0.000953197479248,1.936,1.694
0,1,0,0.000610589981079,1.936,1.694
0,0,1,0.000598907470703,1.936,1.694
1,0,1,0.000455617904663,1.782,1.782
1,1,0,0.00044059753418,1.694,1.936
1,1,0,0.000494956970215,1.694,1.936
1,1,0,0.000474452972412,1.694,1.936
1,1,0,0.000452041625977,1.694,1.936
1,0,0,0.00030517578125,1.694,1.936
1,0,1,0.001007318496704,1.782,1.782
0,1,1,0.00105881690979,1.936,1.694
0,1,1,0.000457286834717,1.936,1.694
0,1,1,0.000471591949463,1.936,1.694
1,0,1,0.00044846534729,1.782,1.782
1,0,0,0.000298738479614,1.782,1.782
1,1,0,0.000451564788818,1.694,1.936
1,1,0,0.000471591949463,1.694,1.936
1,1,0,0.00101375579834,1.694,1.936
1,0,0,0.000669479370117,1.694,1.936
1,0,1,0.001072645187378,1.782,1.782
0,1,1,0.001020193099976,1.936,1.694
0,1,1,0.001015424728394,1.936,1.694
0,1,1,0.001011848449707,1.936,1.694
1,0,0,0.000653982162476,1.936,1.694
1,1,1,0.000663280487061,1.936,1.694
1,1,1,0.000633239746094,1.936,1.694
1,1,1,0.000645399093628,1.936,1.694
1,1,1,0.000303030014038,1.936,1.694
1,1,1,0.000297784805298,1.936,1.694
1,1,1,0.000303030014038,1.936,1.694
1,1,1,0.000306844711304,1.936,1.694
1,1,1,0.000305891036987,1.936,1.694
1,1,1,0.00030517578125,1.936,1.694
1,1,1,0.000612735748291,1.936,1.694
1,1,1,0.00061821937561,1.936,1.694
1,1,1,0.000295877456665,1.936,1.694
1,1,1,0.000301599502563,1.936,1.694
1,1,1,0.000296831130981,1.936,1.694
1,1,1,0.000307083129883,1.936,1.694
1,1,1,0.000300645828247,1.936,1.694
1,0,0,0.000290155410767,1.936,1.694
1,0,1,0.000949859619141,1.782,1.782
1,0,0,0.000614404678345,1.782,1.782
1,1,0,0.000963449478149,1.694,1.936
1,1,0,0.001073122024536,1.694,1.936
1,1,0,0.000957489013672,1.694,1.936
1,1,0,0.000475168228149,1.694,1.936
1,0,0,0.000320911407471,1.694,1.936
1,0,1,0.000445127487183,1.782,1.782
1,0,1,0.000450849533081,1.782,1.782
1,0,1,0.000435829162598,1.782,1.782
0,0,1,0.000295400619507,1.782,1.782
0,1,1,0.000964641571045,1.936,1.694
0,0,1,0.000610113143921,1.936,1.694
1,0,1,0.001061677932739,1.782,1.782
1,0,0,0.000618696212769,1.782,1.782
1,1,0,0.000504732131958,1.694,1.936
1,1,0,0.000509023666382,1.694,1.936
1,0,0,0.000336647033691,1.694,1.936
1,0,1,0.000500440597534,1.782,1.782
0,1,1,0.000463008880615,1.936,1.694
0,1,1,0.001028060913086,1.936,1.694
1,0,1,0.000446557998657,1.782,1.782
1,0,1,0.000593423843384,1.782,1.782
1,0,0,0.000367641448975,1.782,1.782
1,1,0,0.000499725341797,1.694,1.936
1,1,0,0.000492334365845,1.694,1.936
1,1,1,0.000354766845703,1.694,1.936
1,1,1,0.000665426254272,1.694,1.936
1,1,1,0.00068998336792,1.694,1.936
1,1,1,0.000685214996338,1.694,1.936
1,1,1,0.000697612762451,1.694,1.936
1,1,1,0.000689506530762,1.694,1.936
1,1,1,0.000679969787598,1.694,1.936
1,1,1,0.000680446624756,1.694,1.936
1,1,1,0.000709533691406,1.694,1.936
1,1,1,0.000690221786499,1.694,1.936
1,1,0,0.000495195388794,1.694,1.936
1,1,0,0.000494480133057,1.694,1.936
1,0,1,0.000496625900269,1.782,1.782
0,1,1,0.000500202178955,1.936,1.694
0,1,1,0.000482797622681,1.936,1.694
0,1,1,0.001009702682495,1.936,1.694
1,0,1,0.001051425933838,1.782,1.782
1,0,0,0.000687599182129,1.782,1.782
1,0,0,0.000344514846802,1.782,1.782
1,0,0,0.000319719314575,1.782,1.782
1,1,0,0.000487327575684,1.694,1.936
1,0,0,0.000348329544067,1.694,1.936
1,0,1,0.000497579574585,1.782,1.782
0,0,1,0.000785827636719,1.782,1.782
0,1,1,0.001009941101074,1.936,1.694
0,0,1,0.000653505325317,1.936,1.694
1,0,0,0.000335931777954,1.936,1.694
1,1,0,0.000513792037964,1.694,1.936
1,1,1,0.000345945358276,1.694,1.936
1,1,1,0.000368118286133,1.694,1.936
1,1,1,0.000350475311279,1.694,1.936
1,1,1,0.000837564468384,1.694,1.936
1,1,1,0.00032901763916,1.694,1.936
1,1,1,0.000348091125488,1.694,1.936
1,1,0,0.000504016876221,1.694,1.936
1,1,0,0.000498533248901,1.694,1.936
1,0,0,0.000357389450073,1.694,1.936
1,0,1,0.000499963760376,1.782,1.782
0,1,1,0.001021385192871,1.936,1.694
0,1,1,0.000499486923218,1.936,1.694
0,0,1,0.000358581542969,1.936,1.694
1,0,1,0.000499963760376,1.782,1.782
1,1,0,0.000500917434692,1.694,1.936
1,1,0,0.000450134277344,1.694,1.936
1,1,0,0.00111985206604,1.694,1.936
1,0,1,0.001009941101074,1.782,1.782
0,0,1,0.000424861907959,1.782,1.782
0,1,1,0.000582456588745,1.936,1.694
0,1,1,0.000588893890381,1.936,1.694
0,0,1,0.000351428985596,1.936,1.694
1,0,1,0.000501871109009,1.782,1.782
1,1,0,0.000502824783325,1.694,1.936
1,1,0,0.001015424728394,1.694,1.936
1,1,0,0.001199722290039,1.694,1.936
1,0,0,0.000341892242432,1.694,1.936
1,0,1,0.000490188598633,1.782,1.782
0,1,1,0.000562191009521,1.936,1.694
0,0,1,0.000330448150635,1.936,1.694
1,0,0,0.000301361083984,1.936,1.694
1,1,0,0.001118183135986,1.694,1.936
1,1,1,0.000726699829102,1.694,1.936
1,1,1,0.000307083129883,1.694,1.936
1,1,1,0.000307559967041,1.694,1.936
1,1,1,0.000303030014038,1.694,1.936
1,1,1,0.000309228897095,1.694,1.936
1,1,1,0.001355409622192,1.694,1.936
1,1,0,0.001476287841797,1.694,1.936
1,1,0,0.001333713531494,1.694,1.936
1,0,1,0.000474452972412,1.782,1.782
1,0,1,0.001485824584961,1.782,1.782
1,0,1,0.001522302627563,1.782,1.782
1,0,1,0.001234292984009,1.782,1.782
1,0,0,0.000328779220581,1.782,1.782
1,1,0,0.000447273254395,1.694,1.936
1,1,0,0.001044511795044,1.694,1.936
1,0,0,0.000352621078491,1.694,1.936
1,0,1,0.000564813613892,1.782,1.782
0,1,1,0.000565528869629,1.936,1.694
0,1,0,0.000409603118896,1.936,1.694
0,1,1,0.000506401062012,1.936,1.694
1,0,1,0.000541210174561,1.782,1.782
1,1,0,0.001113176345825,1.694,1.936
1,1,1,0.000326156616211,1.694,1.936
1,1,1,0.000304460525513,1.694,1.936
1,1,1,0.000429630279541,1.694,1.936
1,1,1,0.000370502471924,1.694,1.936
1,1,1,0.000359535217285,1.694,1.936
1,1,1,0.000669479370117,1.694,1.936
1,1,1,0.000304698944092,1.694,1.936
1,1,0,0.000567197799683,1.694,1.936
1,0,0,0.000356674194336,1.694,1.936
0,0,1,0.000344514846802,1.694,1.936
1,1,1,0.000365018844604,1.694,1.936
1,1,1,0.00037145614624,1.694,1.936
1,1,1,0.000347137451172,1.694,1.936
1,1,1,0.000361680984497,1.694,1.936
1,1,1,0.000413656234741,1.694,1.936
1,1,1,0.000411987304688,1.694,1.936
1,1,1,0.00037407875061,1.694,1.936
1,1,1,0.000349760055542,1.694,1.936
1,1,1,0.000763654708862,1.694,1.936
1,1,1,0.000930309295654,1.694,1.936
1,1,1,0.000324010848999,1.694,1.936
1,1,1,0.000378370285034,1.694,1.936
1,1,1,0.000350475311279,1.694,1.936
1,1,1,0.000338077545166,1.694,1.936
1,1,1,0.000354766845703,1.694,1.936
1,1,1,0.000353813171387,1.694,1.936
1,1,1,0.000331878662109,1.694,1.936
1,1,1,0.000391960144043,1.694,1.936
1,1,1,0.000348091125488,1.694,1.936
1,1,1,0.00035548210144,1.694,1.936
1,1,1,0.000356674194336,1.694,1.936
1,1,1,0.000341415405273,1.694,1.936
1,1,1,0.000658750534058,1.694,1.936
0,0,1,0.00065803527832,1.694,1.936
1,0,0,0.000341653823853,1.694,1.936
1,1,0,0.000494003295898,1.694,1.936
1,1,0,0.00049901008606,1.694,1.936
1,1,1,0.000358104705811,1.694,1.936
1,1,1,0.000353336334229,1.694,1.936
1,1,1,0.000597238540649,1.694,1.936
1,1,1,0.000653028488159,1.694,1.936
1,1,1,0.000339984893799,1.694,1.936
1,1,1,0.000332117080688,1.694,1.936
1,1,1,0.000344276428223,1.694,1.936
1,1,1,0.000333786010742,1.694,1.936
1,1,1,0.000336885452271,1.694,1.936
1,1,0,0.000989675521851,1.694,1.936
